parcel_id,village,lat,lon,elevation_m,slope_deg,slope_score,lulc_class,lulc_name,lulc_score,ghi_kwh_m2_yr,pv_yield_kwh_kwp,ghi_score,ghi_daily,temp_c,temp_score,power_dist_km,power_score,road_dist_km,road_score,sources
KLK-0001,Vriddhachalam,11.62,78.63,264.0,0.0,4,40,Cropland,3,1968.4,1461.0,3,5.442,26.84,2,1.394,4,0.368,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0002,Vriddhachalam,11.62,78.66684,264.0,0.24,4,40,Cropland,3,1968.4,1461.0,3,5.442,26.84,2,0.05,4,0.204,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0003,Vriddhachalam,11.62,78.70368,230.0,0.52,4,40,Cropland,3,1990.8,1469.0,4,5.442,26.84,2,1.236,4,0.036,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0004,Vriddhachalam,11.62,78.74053,191.0,0.35,4,40,Cropland,3,1990.8,1469.0,4,5.442,26.84,2,1.406,4,0.361,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0005,Vriddhachalam,11.62,78.77737,181.0,0.26,4,40,Cropland,3,1976.5,1458.0,3,5.442,26.84,2,1.22,4,0.383,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0006,Vriddhachalam,11.62,78.81421,155.0,0.19,4,40,Cropland,3,1976.5,1458.0,3,5.442,26.84,2,1.078,4,0.29,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0007,Vriddhachalam,11.62,78.85105,155.0,0.12,4,40,Cropland,3,1976.5,1457.0,3,5.442,26.84,2,1.047,4,0.2,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0008,Vriddhachalam,11.62,78.88789,138.0,0.28,4,40,Cropland,3,1976.5,1457.0,3,5.442,26.84,2,0.311,4,0.269,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0009,Vriddhachalam,11.62,78.92474,116.0,0.24,4,40,Cropland,3,1976.5,1458.0,3,5.442,26.84,2,3.48,3,0.46,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0010,Vriddhachalam,11.62,78.96158,104.0,0.11,4,30,Grassland,3,1976.5,1458.0,3,5.442,26.84,2,6.89,2,0.272,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0011,Vriddhachalam,11.62,78.99842,100.0,0.03,4,50,Built-up,1,1950.7,1440.0,2,5.401,26.84,2,9.6,2,0.186,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0012,Vriddhachalam,11.62,79.03526,100.0,0.09,4,40,Cropland,3,1950.7,1440.0,2,5.401,26.84,2,7.158,2,0.089,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0013,Vriddhachalam,11.62,79.07211,88.0,0.14,4,40,Cropland,3,1950.7,1440.0,2,5.401,28.12,1,6.609,2,0.784,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
KLK-0014,Pennadam,11.62,79.10895,80.0,0.08,4,40,Cropland,3,1950.7,1440.0,2,5.401,28.12,1,8.294,2,0.821,4,"{'elevation': 'NASA SRTM30m via OpenTopoData.org', 'lulc': 'ESA WorldCover 2020 v100 via Terrascope WMS', 'solar': 'PVGIS API v5.2 ERA5 + NASA POWER v8 MERRA-2', 'power': 'OpenStreetMap Overpass API', 'roads': 'OpenStreetMap Overpass API'}"
